Id	Entry	Left	Right	LeftStoich	RightStoich
1713870	META:RXN66-241	1597028 1545262	1541356 1544516 1572800	1.0 1.0	1.0 1.0 1.0
1713874	META:2.1.1.142-RXN	1597028 1556330	1541356 1556037 1572800	1.0 1.0	1.0 1.0 1.0
1713878	META:BRANCHED-CHAINAMINOTRANSFERVAL-RXN	1584742 1603463	1543802 1595129	1.0 1.0	1.0 1.0
1713885	META:R546-RXN	1572800 1586414 1546048 1569568	1610854 1583219 1546026	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1713890	META:IMP-DEHYDROG-RXN	1583219 1563457 1549313	1572800 1598903 1610842	1.0 1.0 1.0	1.0 1.0 1.0
1713913	META:RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	1539056 1572800	1546371 1583219 1551441	2.0 2.0	1.0 1.0 1.0
1713974	META:2.4.1.149-RXN	1560602 1598800	1557888 1583294 1572800	1.0 1.0	1.0 1.0 1.0
1713978	META:RXN-5143	1599022	1567662 1570608	1.0	1.0 1.0
1713981	META:RXN-5142	1599022	1613125 1570608	1.0	1.0 1.0
1713984	META:3.2.2.10-RXN	1556919 1583219	1575535 1577673	1.0 1.0	1.0 1.0
1713986	META:RXN-5141	1546254 1597028	1534429 1541356 1572800	1.0 1.0	1.0 1.0 1.0
1713988	META:TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN	1572800 1594098	1563691 1596943	1.0 1.0	1.0 1.0
1713992	META:3.1.3.66-RXN	1583219 1573514	1542760 1562556	1.0 1.0	1.0 1.0
1713996	META:ISOFLAVONE-2-HYDROXYLASE-RXN	1586414 1569568 1572800 1569452	1574536 1610854 1583219	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1714000	META:RXN-7799	1561287 1611946	1615843 1572800 1610535	1.0 1.0	1.0 1.0 1.0
1714002	META:RXN-7797	1572800 1568868 1561287 1586414	1583219 1572364 1556377	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1714003	META:RXN-7798	1556377 1586414 1572800 1569568	1568491 1610854 1583219	1.0 1.0 1.0 1.0	1.0 1.0 2.0
1714004	META:RXN-6464	1568162 1597028	1541356 1568578 1572800	1.0 1.0	1.0 1.0 1.0
1714006	META:RXN-7795	1603606 1561287	1566024 1595144	1.0 1.0	1.0 1.0
1714008	META:3.4.18.1-RXN	1615894 1583219	1615896 1615896	1.0 1.0	1.0 1.0
1714010	META:RXN-7796	1569568 1586414 1561287 1572800	1610854 1613436 1583219	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1714011	META:RXN-6462	1597028 1568151	1572800 1541356 1568162	1.0 1.0	1.0 1.0 1.0
1714012	META:RXN-7793	1545483 1561287	1583294 1599317 1572800	1.0 1.0	1.0 1.0 1.0
1714013	META:RXN-6461	1608388 1597028	1572800 1541356 1568151	1.0 1.0	1.0 1.0 1.0
1714015	META:RXN-7792	1600978 1536893	1562255 1561287 1572800	1.0 1.0	1.0 1.0 1.0
1714145	META:HYALURONATE-LYASE-RXN	1589165	1553108	1.0	-1.0
1714147	META:4-HYDROXYGLUTAMATE-AMINOTRANSFERASE-RXN	1603463 1562242	1543802 1594359	1.0 1.0	1.0 1.0
1714150	META:2.7.8.6-RXN	1579060 1612066	1583969 1562780	1.0 1.0	1.0 1.0
1714154	META:2-ALKYN-1-OL-DEHYDROGENASE-RXN	1563457 1535636	1610842 1574632 1572800	1.0 1.0	1.0 1.0 1.0
1714157	META:UREASE-RXN	1572800 1583219 1600311	1551441 1598043	2.0 1.0 1.0	1.0 2.0
1714172	META:1.1.1.196-RXN	1610854 1603492	1572800 1569568 1588810	1.0 1.0	1.0 1.0 1.0
1714175	META:RXN-5066	1556424	1613298	1.0	1.0
1715840	META:HCAMULTI-RXN	1586414 1572800 1610842 1600862	1609135 1563457	1.0 1.0 1.0 1.0	1.0 1.0
1715844	META:RXN1G-915	1563457 1616340	1572800 1616342 1610842	1.0 1.0	1.0 1.0 1.0
1715845	META:RNTRACTIV-RXN	1597028 1616345	1600669 1561087 1616348	1.0 1.0	1.0 1.0 1.0
1715847	META:LONG-CHAIN-FATTY-ACYL-COA-REDUCTASE-RXN	1578248 1610854 1562255	1600978 1572800 1569568	1.0 1.0 1.0	1.0 1.0 1.0
1715850	META:ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	1598658 1559642	1586812 1543827	1.0 1.0	1.0 1.0
1715855	META:RXN1G-912	1616350	1616325 1583219	1.0	1.0 1.0
1715856	META:2.4.1.68-RXN	1562333 1609853	1572800 1543606 1575385	1.0 1.0	1.0 1.0 1.0
1715859	META:RXN0-1483	1595429 1586414 1572800	1583219 1595415	4.0 1.0 4.0	2.0 4.0
1715862	META:HEXOKINASE-RXN	1611946 1556595	1610535 1572800 1533687	1.0 1.0	1.0 1.0 1.0
1715867	META:ASPARTATE-RACEMASE-RXN	1594148	1557522	1.0	1.0
1715872	META:TYROSINE-DECARBOXYLASE-RXN	1582206 1572800	1535309 1551441	1.0 1.0	1.0 1.0
1715881	META:1.14.13.75-RXN	1613862 1569568 1572800 1586414	1610854 1615061 1583219	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1715884	META:R147-RXN	1554358 1586414	1572800 1589894 1560402	1.0 1.0	1.0 1.0 1.0
1715887	META:3.4.21.95-RXN	1616352 1583219	1616355	1.0 1.0	1.0
1715889	META:OCTANOL-DEHYDROGENASE-RXN	1581402 1563457	1556552 1610842 1572800	1.0 1.0	1.0 1.0 1.0
1715892	META:6.3.5.7-RXN	1611946 1616359 1543796 1583219	1616362 1610535 1543802 1542760 1572800	1.0 1.0 1.0 1.0	1.0 1.0 1.0 1.0 1.0
1715896	META:SELENOCYSTEINE-LYASE-RXN	1581161 1615618	1572800 1556679 1584845 1559642	1.0 1.0	2.0 1.0 1.0 1.0
1715899	META:RXN0-1461	1565740 1572800 1586414	1583219 1551441 1533901	1.0 2.0 1.0	2.0 2.0 1.0
1715937	META:3.2.2.22-RXN	1616364 1583219	1616367	1.0 1.0	1.0
1715953	META:3.1.22.4-RXN	1583219 1566785	1605537	1.0 1.0	1.0
1715955	META:H2SOXIREDPYRO-RXN	1586383 1589371	1541774	1.0 1.0	1.0
1715958	META:GLYMALTOPHOSPHORYL-RXN	1581124 1542760	1536927 1592771	1.0 1.0	1.0 1.0
1715960	META:APIGENIN-4-O-METHYLTRANSFERASE-RXN	1597028 1561127	1572800 1541356 1611409	1.0 1.0	1.0 1.0 1.0
1715964	META:3.4.24.50-RXN	1615894 1583219	1615896	1.0 1.0	-1.0
1715966	META:PYRROLINE-2-CARBOXYLATE-REDUCTASE-RXN	1572364 1570869	1568868 1572800 1571687	1.0 1.0	1.0 2.0 1.0
1715971	META:2.1.1.38-RXN	1597028 1541682	1589253 1572800 1541356	1.0 1.0	1.0 1.0 1.0
1715974	META:COBIIALAMIN-REDUCTASE-RXN	1598873 1563457 1572800	1610842 1594160	2.0 1.0 1.0	1.0 2.0
1715977	META:NITRATE-REDUCTASE-NADPH-RXN	1610854 1583219 1546693	1569568 1573504 1572800	1.0 1.0 1.0	1.0 1.0 1.0
1715984	META:PANTOTHENATE-KIN-RXN	1560371 1611946	1610535 1572800 1556808	1.0 1.0	1.0 1.0 1.0
1715988	META:CYSPH-RXN	1534773 1603131	1554364 1542760	1.0 1.0	1.0 1.0
1715990	META:2.8.3.9-RXN	1569079 1549806	1613518 1596866	1.0 1.0	1.0 1.0
1715996	META:2.4.1.92-RXN	1577392 1534689	1583294 1572800 1608075	1.0 1.0	1.0 1.0 1.0
1715999	META:RXN0-1401	1586233 1611946	1610535 1559179	1.0 1.0	1.0 1.0
1716002	META:RXN0-1402	1611946 1577997	1572800 1610535 1586233	1.0 1.0	1.0 1.0 1.0
1716003	META:2.4.1.201-RXN	1583760 1560602	1572800 1583294 1613566	1.0 1.0	1.0 1.0 1.0
1716007	META:3.4.22.62-RXN	1583219 1615896	1615896	1.0 1.0	1.0
1716009	META:SULFOCYS-RXN	1563279 1543831	1547023 1549494 1572800	1.0 1.0	1.0 1.0 1.0
1716012	META:2.6.1.56-RXN	1588689 1586812	1588639 1559642	1.0 1.0	1.0 1.0
1716015	META:3.1.1.73-RXN	1593640 1583219	1579146 1572800 1588225	1.0 1.0	1.0 2.0 1.0
1716018	META:R12-RXN	1553790	1593981	1.0	1.0
1716022	META:ALDEHYDE-OXIDASE-RXN	1583219 1586414 1609982	1609858 1590160 1572800	1.0 1.0 1.0	1.0 1.0 1.0
1716026	META:GLUTAMATE-FORMIMINOTRANSFERASE-RXN	1543802 1554843	1585747 1567441	1.0 1.0	1.0 1.0
1716029	META:DEOXYHYPUSINE-MONOOXYGENASE-RXN	1570680 1586414 1581161	1556679 1583219 1608071	1.0 1.0 1.0	1.0 1.0 1.0
1716032	META:3.2.1.55-RXN	1583219 1589981	1615412	-1.0 1.0	-1.0
1716035	META:DIFFERIC-TRANSFERRIN-REDUCTASE-RXN	1563457 1616370	1572800 1610842 1616373	1.0 1.0	1.0 1.0 1.0
1716037	META:GLUTRNAREDUCT-RXN	1616376 1610854 1564752	1569568 1616381	1.0 1.0 1.0	1.0 1.0
1716041	META:MALONATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	1583681 1583219 1572364	1568868 1550168 1572800	1.0 1.0 1.0	1.0 1.0 2.0
1716045	META:2.4.1.144-RXN	1562333 1560602	1572800 1583294 1533034	1.0 1.0	1.0 1.0 1.0
1716047	META:4.99.1.7-RXN	1564360	1564632 1583219	1.0	1.0 1.0
1716050	META:CARNDETRU-RXN	1595282	1606193 1583219	1.0	1.0 1.0
1716054	META:D-LYXOSE-KETOL-ISOMERASE-RXN	1566752	1587239	1.0	1.0
1716057	META:PECTINESTERASE-RXN	1583219 1538559	1565108 1610766	-1.0 1.0	-1.0 1.0
1716079	META:RXN-698	1586414 1567561	1544197 1574075	1.0 1.0	1.0 1.0
1716082	META:TARTRATE-EPIMERASE-RXN	1591782	1586473	1.0	1.0
1716085	META:ACETOACETYL-COA-TRANSFER-RXN	1569079 1572576	1596866 1549494	1.0 1.0	1.0 1.0
1716087	META:RXN-4304	1569568 1547363 1583219	1547381 1610854 1572800	1.0 1.0 1.0	1.0 1.0 3.0
1716089	META:MACROCIN-O-METHYLTRANSFERASE-RXN	1597028 1572251	1548092 1541356 1572800	1.0 1.0	1.0 1.0 1.0
