ModelEntityId	EntityType	ClusterEntry	ClusterId
1817526	ModelReaction	mrxn_111	432007
1819880	ModelReaction	mrxn_111	432007
1819882	ModelReaction	mrxn_112	432002
1817522	ModelReaction	mrxn_112	432002
1819313	ModelReaction	mrxn_113	432003
1764844	ModelReaction	mrxn_113	432003
1768039	ModelReaction	mrxn_114	432000
1768038	ModelReaction	mrxn_114	432000
1813637	ModelReaction	mrxn_114	432000
1798105	ModelReaction	mrxn_114	432000
1798107	ModelReaction	mrxn_114	432000
1810801	ModelReaction	mrxn_114	432000
1813638	ModelReaction	mrxn_114	432000
1810803	ModelReaction	mrxn_114	432000
1768425	ModelReaction	mrxn_115	432001
1818554	ModelReaction	mrxn_115	432001
1814033	ModelReaction	mrxn_115	432001
1810991	ModelReaction	mrxn_115	432001
1805743	ModelReaction	mrxn_115	432001
1803562	ModelReaction	mrxn_115	432001
1808590	ModelReaction	mrxn_115	432001
1764015	ModelReaction	mrxn_115	432001
1756452	ModelReaction	mrxn_115	432001
1798752	ModelReaction	mrxn_115	432001
1819312	ModelReaction	mrxn_116	432014
1764843	ModelReaction	mrxn_116	432014
1813041	ModelReaction	mrxn_117	432015
1812793	ModelReaction	mrxn_117	432015
1813042	ModelReaction	mrxn_117	432015
1811155	ModelReaction	mrxn_117	432015
1805904	ModelReaction	mrxn_117	432015
1811153	ModelReaction	mrxn_117	432015
1765599	ModelReaction	mrxn_117	432015
1798539	ModelReaction	mrxn_117	432015
1816916	ModelReaction	mrxn_117	432015
1798536	ModelReaction	mrxn_117	432015
1820048	ModelReaction	mrxn_117	432015
1811152	ModelReaction	mrxn_117	432015
1803285	ModelReaction	mrxn_117	432015
1803286	ModelReaction	mrxn_117	432015
1767493	ModelReaction	mrxn_117	432015
1767494	ModelReaction	mrxn_117	432015
1767289	ModelReaction	mrxn_117	432015
1797755	ModelReaction	mrxn_117	432015
1756611	ModelReaction	mrxn_117	432015
1764096	ModelReaction	mrxn_117	432015
1798583	ModelReaction	mrxn_117	432015
1810935	ModelReaction	mrxn_117	432015
1809399	ModelReaction	mrxn_117	432015
1798136	ModelReaction	mrxn_117	432015
1809395	ModelReaction	mrxn_117	432015
1756961	ModelReaction	mrxn_117	432015
1813790	ModelReaction	mrxn_117	432015
1813378	ModelReaction	mrxn_117	432015
1806261	ModelReaction	mrxn_117	432015
1802735	ModelReaction	mrxn_117	432015
1767308	ModelReaction	mrxn_118	432012
1798174	ModelReaction	mrxn_118	432012
1812818	ModelReaction	mrxn_118	432012
1756618	ModelReaction	mrxn_119	432013
1765186	ModelReaction	mrxn_119	432013
1817818	ModelReaction	mrxn_119	432013
1808826	ModelReaction	mrxn_119	432013
1818143	ModelReaction	mrxn_119	432013
1805912	ModelReaction	mrxn_119	432013
1808492	ModelReaction	mrxn_120	432008
1802957	ModelReaction	mrxn_120	432008
1756384	ModelReaction	mrxn_120	432008
1808642	ModelReaction	mrxn_120	432008
1819111	ModelReaction	mrxn_120	432008
1819109	ModelReaction	mrxn_120	432008
1757242	ModelReaction	mrxn_120	432008
1805673	ModelReaction	mrxn_120	432008
1768566	ModelReaction	mrxn_120	432008
1802958	ModelReaction	mrxn_120	432008
1806543	ModelReaction	mrxn_120	432008
1813255	ModelReaction	mrxn_120	432008
1764667	ModelReaction	mrxn_120	432008
1767697	ModelReaction	mrxn_120	432008
1764668	ModelReaction	mrxn_120	432008
1798750	ModelReaction	mrxn_121	432009
1818546	ModelReaction	mrxn_121	432009
1810988	ModelReaction	mrxn_121	432009
1803558	ModelReaction	mrxn_121	432009
1768423	ModelReaction	mrxn_121	432009
1808592	ModelReaction	mrxn_121	432009
1805745	ModelReaction	mrxn_121	432009
1814031	ModelReaction	mrxn_121	432009
1764007	ModelReaction	mrxn_121	432009
1756454	ModelReaction	mrxn_121	432009
1763873	ModelReaction	mrxn_122	432022
1809420	ModelReaction	mrxn_122	432022
1806272	ModelReaction	mrxn_122	432022
1802907	ModelReaction	mrxn_122	432022
1756972	ModelReaction	mrxn_122	432022
1816683	ModelReaction	mrxn_122	432022
1813144	ModelReaction	mrxn_123	432023
1767588	ModelReaction	mrxn_123	432023
1764230	ModelReaction	mrxn_123	432023
1798673	ModelReaction	mrxn_123	432023
1809337	ModelReaction	mrxn_124	432020
1810558	ModelReaction	mrxn_124	432020
1806209	ModelReaction	mrxn_124	432020
1768195	ModelReaction	mrxn_124	432020
1807090	ModelReaction	mrxn_124	432020
1810551	ModelReaction	mrxn_124	432020
1806704	ModelReaction	mrxn_124	432020
1803133	ModelReaction	mrxn_124	432020
1808883	ModelReaction	mrxn_124	432020
1818662	ModelReaction	mrxn_124	432020
1798375	ModelReaction	mrxn_124	432020
1810550	ModelReaction	mrxn_124	432020
1803382	ModelReaction	mrxn_124	432020
1798383	ModelReaction	mrxn_124	432020
1813620	ModelReaction	mrxn_124	432020
1813797	ModelReaction	mrxn_124	432020
1756910	ModelReaction	mrxn_124	432020
1802322	ModelReaction	mrxn_124	432020
1809427	ModelReaction	mrxn_124	432020
1763787	ModelReaction	mrxn_124	432020
1802328	ModelReaction	mrxn_124	432020
1757404	ModelReaction	mrxn_124	432020
1807070	ModelReaction	mrxn_124	432020
1818765	ModelReaction	mrxn_125	432019
1818727	ModelReaction	mrxn_125	432019
1812885	ModelReaction	mrxn_126	432016
1810416	ModelReaction	mrxn_126	432016
1809605	ModelReaction	mrxn_126	432016
1798278	ModelReaction	mrxn_126	432016
1806385	ModelReaction	mrxn_126	432016
1767377	ModelReaction	mrxn_126	432016
1765297	ModelReaction	mrxn_126	432016
1803806	ModelReaction	mrxn_126	432016
1818008	ModelReaction	mrxn_126	432016
1757084	ModelReaction	mrxn_126	432016
1803213	ModelReaction	mrxn_127	432017
1809274	ModelReaction	mrxn_127	432017
1756872	ModelReaction	mrxn_127	432017
1819592	ModelReaction	mrxn_127	432017
1765171	ModelReaction	mrxn_127	432017
1806166	ModelReaction	mrxn_127	432017
1797947	ModelReaction	mrxn_128	432030
1813531	ModelReaction	mrxn_128	432030
1797669	ModelReaction	mrxn_128	432030
1767949	ModelReaction	mrxn_128	432030
1810789	ModelReaction	mrxn_128	432030
1813366	ModelReaction	mrxn_128	432030
1757714	ModelReaction	mrxn_129	432031
1809374	ModelReaction	mrxn_129	432031
1807019	ModelReaction	mrxn_129	432031
1818763	ModelReaction	mrxn_130	432026
1818737	ModelReaction	mrxn_130	432026
1767502	ModelReaction	mrxn_131	432027
1767595	ModelReaction	mrxn_131	432027
1798751	ModelReaction	mrxn_132	432024
1810993	ModelReaction	mrxn_132	432024
1764016	ModelReaction	mrxn_132	432024
1818555	ModelReaction	mrxn_132	432024
1808603	ModelReaction	mrxn_132	432024
1803564	ModelReaction	mrxn_132	432024
1756460	ModelReaction	mrxn_132	432024
1805751	ModelReaction	mrxn_132	432024
1814032	ModelReaction	mrxn_132	432024
1768424	ModelReaction	mrxn_132	432024
1812791	ModelReaction	mrxn_133	432025
1798130	ModelReaction	mrxn_133	432025
1767287	ModelReaction	mrxn_133	432025
1810433	ModelReaction	mrxn_133	432025
1798129	ModelReaction	mrxn_134	432038
1810436	ModelReaction	mrxn_134	432038
1812790	ModelReaction	mrxn_134	432038
1767286	ModelReaction	mrxn_134	432038
1818774	ModelReaction	mrxn_135	432037
1818724	ModelReaction	mrxn_135	432037
1819356	ModelReaction	mrxn_136	432034
1764892	ModelReaction	mrxn_136	432034
1806407	ModelReaction	mrxn_137	432035
1808387	ModelReaction	mrxn_137	432035
1765150	ModelReaction	mrxn_137	432035
