Id	Entry	Left	Right	LeftStoich	RightStoich
1672473	rxn13342	1525463 1496276 1493549 1525541 1501712 1497387 1529483 1492853 1525545	1520177 1492263	0.17 0.06 0.05 0.09 0.02 0.1 0.01 0.27 0.24	0.01 1.0
1672477	rxn12011	1507640	1507647	1.0	1.0
1672479	rxn13341	1492514 1492255 1496117 1492243	1492421 1492240 1525414 1492225	2.0 3.0 1.0 3.0	1.0 3.0 1.0 4.0
1672483	rxn12012	1520174 1513533	1513632 1492266	1.0 1.0	1.0 1.0
1672486	rxn13344	1495490 1492238	1492514 1492256 1495519	1.0 1.0	1.0 1.0 1.0
1672488	rxn12013	1523764 1520743	1492225 1492468 1523758	1.0 2.0	1.0 1.0 1.0
1672490	rxn13343	1492383 1492514	1492514 1492383	1.0 1.0	1.0 1.0
1672494	rxn12014	1524679 1520137 1492255	1524684 1520136 1492581	1.0 1.0 1.0	1.0 1.0 1.0
1672496	rxn13346	1495314	1495314	1.0	1.0
1672498	rxn12015	1492255 1498790	1492329 1524572 1492514	2.0 2.0	2.0 1.0 2.0
1672500	rxn13345	1495427	1495427	1.0	1.0
1672504	rxn13348	1492225 1525505	1492514 1529521 1525433	1.0 0.01	1.0 1.0 1.0
1672508	rxn12017	1519698 1520137 1492255	1492225 1527935 1520136	1.0 1.0 1.0	2.0 1.0 1.0
1672510	rxn13347	1492225 1525503	1525430 1529521 1492514	1.0 0.01	1.0 1.0 1.0
1672514	rxn12018	1492246 1492595 1492514 1492255 1502532	1492250 1492225 1528189	1.0 1.0 1.0 1.0 1.0	1.0 2.0 1.0
1672516	rxn12019	1492225 1528189	1492298 1492271 1528186	1.0 1.0	1.0 1.0 1.0
1672518	rxn13349	1492225 1525507	1529521 1525442 1492514	1.0 0.01	1.0 1.0 1.0
1672522	rxn12009	1492821 1492225 1492238	1492514 1492258 1492286 1497625	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1672525	rxn01351	1493250 1492225	1493450 1492268	1.0 1.0	1.0 1.0
1672533	rxn02682	1492238 1496458	1492514 1499332 1492256	1.0 1.0	1.0 1.0 1.0
1672536	rxn01352	1492225 1493250	1492514 1493358 1493852	1.0 1.0	1.0 1.0 1.0
1672543	rxn02683	1492225 1497152	1492514 1496460 1493134	1.0 1.0	1.0 1.0 1.0
1672546	rxn00021	1495682	1493194	1.0	2.0
1672550	rxn02680	1496450 1492305	1501676 1492263	1.0 1.0	1.0 1.0
1672561	rxn00020	1492941 1492225	1493054	1.0 1.0	2.0
1672567	rxn01350	1492255 1493542 1492225	1492461 1492329 1493241	1.0 1.0 1.0	1.0 1.0 1.0
1672570	rxn02681	1493323 1496450	1492263 1497795	1.0 1.0	1.0 1.0
1672573	rxn00023	1493333 1492721	1496634 1492726	2.0 2.0	1.0 2.0
1672576	rxn01355	1492604 1493254 1492238	1492258 1492256 1492514 1494179	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1672580	rxn02686	1492240 1498818	1492243 1492514 1496490	1.0 1.0	1.0 1.0 1.0
1672583	rxn00022	1493024 1492225	1492335	1.0 1.0	2.0
1672588	rxn01356	1492514 1493915	1493264 1492266	1.0 1.0	1.0 1.0
1672591	rxn02687	1492240 1496501	1496717 1492514 1492243	1.0 1.0	1.0 1.0 1.0
1672593	rxn00025	1496652 1492255	1493482	1.0 1.0	2.0
1672596	rxn01353	1493448 1492238	1492256 1493250	1.0 1.0	1.0 1.0
1672603	rxn02684	1496973	1496465	1.0	1.0
1672606	rxn00024	1492519 1492255	1493426	2.0 1.0	2.0
1672607	rxn01354	1492298 1493250	1493448 1492487	1.0 1.0	1.0 1.0
1672611	rxn02685	1492238 1496474	1492256 1492514 1498272	1.0 1.0	1.0 1.0 1.0
1672614	rxn00027	1498212	1506239 1492514	1.0	2.0 2.0
1672617	rxn01359	1493383 1492250	1492246 1492514 1493266	1.0 1.0	1.0 1.0 1.0
1672620	rxn00026	1493487 1492255	1502605 1492329	1.0 1.0	1.0 1.0
1672623	rxn00029	1493593	1492514 1494702 1492225	2.0	1.0 1.0 2.0
1672632	rxn01357	1493264 1492404	1492412 1502940	1.0 1.0	1.0 1.0
1672635	rxn02688	1496506	1496501	1.0	1.0
1672637	rxn00028	1492255 1492514 1492476	1493582 1492225	1.0 2.0 2.0	2.0 2.0
1672641	rxn01358	1492514 1492258 1493265	1494014 1493196	1.0 1.0 1.0	1.0 1.0
1672649	rxn02689	1496506 1492240	1496717 1492514 1492243	1.0 1.0	1.0 1.0 1.0
1672651	rxn13331	1492225 1525492	1495237 1525451 1492514	1.0 0.01	1.0 1.0 1.0
1672655	rxn12000	1492255 1501738 1521649	1521712 1492225 1501751	1.0 1.0 1.0	1.0 2.0 1.0
1672657	rxn13330	1525490 1492225	1495237 1525448 1492514	0.01 1.0	1.0 1.0 1.0
1672661	rxn12001	1521649 1492255 1501745	1522869 1521712 1492225	1.0 1.0 1.0	1.0 1.0 2.0
1672662	rxn13333	1492944 1492944 1492721 1492721	1492726 1492726 1492298 1492298	1.0 1.0 2.0 2.0	2.0 2.0 1.0 1.0
1672665	rxn12002	1520167 1502023 1492255 1492514	1520170 1492225 1502028	1.0 1.0 1.0 2.0	1.0 1.0 1.0
1670401	rxn01480	1492240 1495281	1492243 1492514 1493403	1.0 1.0	1.0 1.0 1.0
1670407	rxn00151	1492298 1492258 1492514 1492238	1492268 1492487 1492286	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1670413	rxn01483	1493409 1492305	1492263 1492514 1493439	1.0 1.0	1.0 1.0 1.0
1670419	rxn00150	1493870 1492225 1492250	1492246 1492514 1492298	1.0 1.0 1.0	1.0 2.0 1.0
1670422	rxn01484	1492225 1493439	1492342 1493409	1.0 1.0	1.0 1.0
1670429	rxn00153	1492225 1492487	1492258 1492514 1492298	1.0 1.0	1.0 1.0 1.0
1670432	rxn01481	1495323 1492321	1493403 1492309	1.0 1.0	1.0 1.0
1670436	rxn00152	1492514 1492258 1492298 1492255	1493075 1492329 1492266	2.0 1.0 1.0 1.0	1.0 1.0 1.0
1670439	rxn01482	1495323 1492298	1493403 1492367	1.0 1.0	1.0 1.0
1670442	rxn00155	1492250 1492263 1492298	1492305 1492266 1492246	1.0 1.0 1.0	1.0 1.0 1.0
1670445	rxn01487	1493414 1492514 1492246	1501909 1492250	1.0 3.0 3.0	1.0 3.0
1670447	rxn00154	1492298 1492240 1492263	1492305 1492243 1492266	1.0 1.0 1.0	1.0 1.0 1.0
1670454	rxn01488	1493414	1495693 1492268	1.0	1.0 1.0
1670458	rxn00157	1492305 1492421	1492298 1492263	1.0 1.0	1.0 1.0
1670463	rxn01485	1503172	1493409	1.0	1.0
1670471	rxn00156	1492255 1492263 1492298 1492514	1492305 1492266 1492329	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1670474	rxn01486	1493640 1492739	1493414 1492268	1.0 1.0	1.0 1.0
1670479	rxn00159	1492832 1492240	1492266 1492298 1492243	1.0 1.0	1.0 1.0 1.0
1670493	rxn00158	1498058 1492225 1492514	1492298 1492266 1492271	1.0 1.0 1.0	1.0 1.0 2.0
1670497	rxn01489	1493414	1492268 1498745	2.0	1.0 1.0
1670503	rxn13461	1529591 1492514 1519764 1492246 1492243	1492240 1492266 1529598 1519767 1492225 1492250	1.0 27.0 9.0 9.0 9.0	9.0 9.0 1.0 9.0 9.0 9.0
